segment_id,street,from_street,to_street,start_latitude,start_longitude,end_latitude,end_longitude
79,Pulaski,16th,Cermak,41.858871241,-87.7252056371,41.8515494772,-87.7250091595
375,Western,79th,83rd,41.7501038593,-87.6830303802,41.7428167477,-87.6828624247
851,Higgins,Oak Park,Nagle,41.9787314076,-87.7964600566,41.9761210286,-87.787859013
814,Stony Island,67th,71st,41.7733522321,-87.5864010353,41.7660878258,-87.5862821566
342,Western,51st,47th,41.8011451454,-87.684040664,41.8084247143,-87.6842419673
348,Western,Cermak,18th,41.8520308712,-87.6854567493,41.857496,-87.685797
1269,Madison,Michigan,Wacker,41.882109,-87.624366,41.882014,-87.636891
31,Pulaski,59th,55th,41.7859356046,-87.722778136,41.7932034198,-87.7230445278
633,Cicero,67th,72nd,41.7711273217,-87.7422329321,41.7619000085,-87.7419654588
1212,Halsted,47th,43rd,41.808864,-87.645349,41.816184,-87.645535
1207,Halsted,67th,63rd,41.772472,-87.644407,41.779751,-87.644597
879,LaSalle,Chicago,Grand,41.8966141219,-87.6329021476,41.891601818,-87.6327415777
1289,Chicago,Halsted,LaSalle,41.896297,-87.647745,41.896514,-87.632709
222,Roosevelt,Western,Damen,41.8664753382,-87.6860397975,41.8666173666,-87.6762510995
326,North,Cicero,Kostner,41.9094885759,-87.7461157058,41.9096183569,-87.7362643899
37,Pulaski,31st,26th,41.8368812942,-87.7241670914,41.8442541875,-87.7244396463
206,North,California,Kedzie,41.9103545465,-87.6970334998,41.9102525328,-87.706959124
360,Western,Diversey,Belmont,41.9321780939,-87.6876989484,41.9394597831,-87.6879810565
660,Congress,Michigan,State,41.8758738945,-87.624251783,41.8757590907,-87.6276277176
645,Cicero,Division,Chicago,41.9023434231,-87.746169799,41.8949874728,-87.7459957206
253,87th,Kedzie,California,41.735083368,-87.7020978703,41.7352455091,-87.6922007563
891,Lake Shore Dr,Belmont,Diversey,41.9403863706,-87.6385898812,41.9334278712,-87.6322220647
829,Harlem,Bryn Mawr,Peterson,41.9827767713,-87.8067554164,41.9899782632,-87.8066960672
339,Western,63rd,59th,41.7792149771,-87.6834560431,41.786527685,-87.6836472764
1117,111th,Kedzie,Crawford,41.6917049977,-87.7008263623,41.6914994271,-87.7202965545
468,95th,Michigan,Wentworth,41.7219106219,-87.6205312155,41.721847197,-87.6286359347
1024,Wacker,Van Buren,Madison,41.8768042277,-87.6366594269,41.8819140751,-87.6367064128
